datetime,type,price,amount
2021-01-01 00:00:00,deposit,1.0000,+117127.9
2021-02-19 00:00:00,withdraw,1.7821,-81477
2021-02-19 00:00:00,dividend,1.7821,-35649
2021-07-01 00:00:00,withdraw,1.1077,-1.899
2021-01-01 00:00:00,deposit,1.0000,+117127.9
2021-02-19 00:00:00,withdraw,1.7821,-81477
2021-02-19 00:00:00,dividend,1.7821,-35649
2021-07-01 00:00:00,withdraw,1.1077,-1.899
2021-01-01 00:00:00,deposit,1.0000,+117127.9
2021-02-19 00:00:00,withdraw,1.7821,-81477
2021-02-19 00:00:00,dividend,1.7821,-35649
2021-07-01 00:00:00,withdraw,1.1077,-1.899
2021-01-01 00:00:00,deposit,1.0000,+117127.9
2021-02-19 00:00:00,withdraw,1.7821,-81477
2021-02-19 00:00:00,dividend,1.7821,-35649
2021-07-01 00:00:00,withdraw,1.1077,-1.899
2021-01-01 00:00:00,deposit,1.0000,+117127.9
2021-02-19 00:00:00,withdraw,1.7821,-81477
2021-02-19 00:00:00,dividend,1.7821,-35649
2021-07-01 00:00:00,withdraw,1.1077,-1.899
